-15 -0.0644597 -0.00279943
-13.5 -0.0710372 -0.00341953
-12 -0.0794154 -0.00442154
-10.5 -0.0901036 -0.00576899
-9 -0.103852 -0.00814099
-7.5 -0.122328 -0.0116159
-6 -0.147055 -0.018667
-4.5 -0.182059 -0.0285558
-3 -0.227323 -0.0412978
-1.5 -0.329605 0.028842
0 -0.0957312 0.426964
1.5 0.488902 0.0640561
3 0.290515 -0.0689751
4.5 0.221094 -0.0426307
6 0.171848 -0.0256463
7.5 0.139178 -0.0150769
9 0.115795 -0.0101364
10.5 0.098982 -0.00696784
12 0.0862412 -0.00521718
13.5 0.0764548 -0.00396245
15 0.0688915 -0.00319845
