-20.	0.4999786141806161+0.00010871922044328594*I	0.49996258047601716+0.00022414112361056866*I	0.4999522651475064+0.0003467705783944882*I	0.49994798803070595+0.0004774179296770275*I	0.49995001154600355+0.0006174114541828075*I	0.4999585298687007+0.0007689890469987572*I
-19.5	0.4999768491397626+0.00011196200448763078*I	0.4999591374998972+0.0002308300732025179*I	0.49994706296098956+0.00035698225248485067*I	0.4999405809741802+0.000491016379146764*I	0.49993919554770494+0.000633886894677037*I	0.4999414989568922+0.0007871197192756915*I
-19.	0.4999679150666036+0.00011381772270004748*I	0.49993957802680794+0.00023432715521574607*I	0.4999144254051846+0.00036158196454018506*I	0.4998912557663585+0.0004956628276888242*I	0.49986782666632673+0.0006366691131619325*I	0.49984017157884747+0.000784650186515354*I
-18.5	0.49995531587717856+0.00011464208138943174*I	0.49991258537257144+0.00023555940678220087*I	0.4998708279291978+0.0003624356993520854*I	0.4998284091058493+0.000494811841806216*I	0.49978279849859325+0.0006320003832986663*I	0.4997303043004606+0.0007729192807806984*I
-18.	0.4999421281942786+0.00011490284054383003*I	0.49988521602985997+0.00023569009148432954*I	0.4998283771967041+0.00036174489800240095*I	0.4997702857620089+0.0004922189353003483*I	0.4997091381765654+0.000625946764416516*I	0.49964270163867447+0.0007613185430272823*I
-17.5	0.4999299315052359+0.00011502240497883959*I	0.49986070012031986+0.00023571429178157006*I	0.4997917912161112+0.0003612618991107001*I	0.49972247741422193+0.0004905953844434774*I	0.4996518679920143+0.0006223307428451171*I	0.4995790495244993+0.0007547030630190195*I
-17.	0.4999191341969487+0.00011529637194402196*I	0.49983958730824224+0.00023628610263685506*I	0.4997612899856139+0.0003620455321556976*I	0.4996841028858684+0.0004913968365481986*I	0.4996078812881359+0.0006228763767210245*I	0.4995325911366759+0.0007547066875289643*I
-16.5	0.4999095376040192+0.00011588885401851999*I	0.49982120218610027+0.00023774098833086093*I	0.4997353362855761+0.00036457778203756875*I	0.4996522807095533+0.0004951721371022105*I	0.49957242090791787+0.0006280318305787048*I	0.49949625283500304+0.0007613899872070048*I
-16.	0.4999007269005184+0.00011685935159413995*I	0.4998045140921425+0.00024018181181220872*I	0.4997120562102452+0.000368963689508508*I	0.4996240500362177+0.0005019508267965745*I	0.4995412890420322+0.0006376284396811259*I	0.4994645659804799+0.000774217785211899*I
-15.5	0.49989225332508275+0.00011819738838858801*I	0.4997885061907994+0.00024356920863201904*I	0.49968975483981476+0.00037510117631139265*I	0.49959701631102077+0.0005115158641602687*I	0.49951131803581195+0.0006512634608576951*I	0.49943368342538785+0.0007925185798026476*I
-15.	0.49988371438970847+0.00011984867344259998*I	0.49977230987356047+0.0002477826884926668*I	0.4996670532543802+0.0003827847061383073*I	0.4995692223822344+0.0005235505209160155*I	0.4994800738833105+0.0006684775161438538*I	0.49940080153742905+0.0008156586788956301*I
-14.5	0.4998747636433161+0.0001217299672543199*I	0.49975519937475404+0.0002526534125777025*I	0.4996428343172504+0.0003917560321465857*I	0.49953919665717444+0.0005377023348221068*I	0.4994457622400152+0.0006888194447454248*I	0.4993638960631548+0.0008430868208961909*I
-14.	0.49986510607325657+0.00012373682936793587*I	0.4997365661120465+0.00025797910474805027*I	0.49961617504383177+0.0004017239917054506*I	0.49950572143951927+0.0005536027434732112*I	0.4994069180759124+0.0007118577375295962*I	0.49932132655386535+0.0008743262501880174*I
-13.5	0.4998544812969238+0.00012574390235016493*I	0.4997158799309946+0.0002635237888467257*I	0.49958627431795466+0.0004123619129910462*I	0.4994677436204872+0.0005708590890400855*I	0.4993622781377756+0.0007371625204632612*I	0.49927167354496854+0.000908941852216088*I
-13.	0.4998426642311296+0.00012760133726895406*I	0.49969265589661954+0.0002690093112290106*I	0.49955238098803123+0.000423292661413063*I	0.49942425402268015+0.0005890316016894382*I	0.4993105943200657+0.0007642732157487142*I	0.4992134970979064+0.0009464971188859479*I
-12.5	0.4998294181866237+0.00012912763902194927*I	0.49966640808968793+0.0002741000398680405*I	0.4995137441137945+0.00043406447327217103*I	0.4993742345780423+0.0006075998240658387*I	0.49925059843480635+0.0007926553913711657*I	0.499145309611284+0.0009865021028102631*I
-12.	0.4998145289909619+0.00013009954329604547*I	0.4996366634300397+0.0002783814103316636*I	0.49946960176317845+0.0004441177088755081*I	0.49931661918563003+0.0006259182662600562*I	0.4991809233521305+0.0008216467818126604*I	0.49906546677093155+0.001028352339192719*I
-11.5	0.49979778037677663+0.00013023951756481786*I	0.49960293362399816+0.00028133341514167287*I	0.49941914625072387+0.0004527437957915324*I	0.4992502491788975+0.0006431614157468051*I	0.4991000475835882+0.0008503910266744545*I	0.49897209647762253+0.001071254982686612*I
-11.	0.4997789644008901+0.00012919973081030938*I	0.4995647232877637+0.0002822961499221436*I	0.49936152439507087+0.0004590316162297927*I	0.49917385917520785+0.0006582523453352277*I	0.499006264312328+0.0008777515173016086*I	0.49886305382745755+0.00111413335572938*I
-10.5	0.49975787341505973+0.00012654234247502143*I	0.4995215147416906+0.0002804271300630286*I	0.4992958104899565+0.0004618003567361781*I	0.4990860325888843+0.0006697718799462067*I	0.49889761100067476+0.0009022007310302287*I	0.49873581336865086+0.001155502960370787*I
-10.	0.49973433123828986+0.00012171601473458268*I	0.4994728179203614+0.00027464804767194013*I	0.4992210566168616+0.0004595126098253258*I	0.498985247090622+0.0006758379782465568*I	0.4987718998568159+0.0009216702314560982*I	0.4985874821822684+0.0011933011218688606*I
-9.5	0.4997082090346681+0.0001140282992038869*I	0.49941819431914974+0.0002635803942355943*I	0.4991363457607541+0.0004501670512492771*I	0.4988699132467295+0.0006739532970720344*I	0.4986267281418033+0.000933356966307694*I	0.49841476182449446+0.0012246622672141207*I
-9.	0.49967946712535166+0.0001026155780177931*I	0.49935733622595396+0.0002454711521725456*I	0.49904082880766676+0.0004311674608647567*I	0.4987384080776337+0.0006608114411563868*I	0.49845948301142295+0.0009334690202667876*I	0.4982139024453726+0.0012456158994134203*I
-8.5	0.4996482115624824+0.0000864117650952566*I	0.4992901675818072+0.0002181076614834216*I	0.49893392319097823+0.0003991643077919958*I	0.498589280832106+0.0006320519981245752*I	0.498267522013089+0.0009168926080249165*I	0.4979808446625069+0.001250679166321498*I
-8.	0.49961478381145413+0.00006412262449933642*I	0.4992170197043726+0.0001787333067287542*I	0.49881550821728426+0.00034987834245670067*I	0.4984214739571089+0.0005819656442358385*I	0.49804837025803683+0.0008767672507296603*I	0.49771129288605054+0.0012323134953269124*I
-7.5	0.49957988629764494+0.00003421410564587172*I	0.49913888537760526+0.00012397670898905503*I	0.49868631121965223+0.0002779179241565534*I	0.4982347805097243+0.0005031520780086597*I	0.4978001847409935+0.000803955921093516*I	0.49740115054081885+0.001180211444803608*I
-7.	0.4995447605994347-5.063558898025668*^-6*I	0.49905779637023406+0.00004983365026852644*I	0.4985484692559951+0.00017663712907126493*I	0.49803054789482964+0.00038617040025669316*I	0.4975225037722901+0.0006864235258104961*I	0.49704716670917315+0.0010803853678086695*I
-6.5	0.49951142477811084-0.00005558482605832652*I	0.49897735161515405-0.000048236568308664855*I	0.49840636896572454+0.00003811695673327543*I	0.49781278830638703+0.00021926524994475089*I	0.4972175208721383+0.0005085811228930951*I	0.4966481841376554+0.0009140634750366491*I
-6.	0.4994829560562036-0.0001191370505770901*I	0.49890339786055604-0.0001749866254337971*I	0.49826780411162075-0.0001465652898306703*I	0.49758981902929883-0.00001164347037943859*I	0.49689206287530013+0.00025075799338403627*I	0.4962072001256624+0.0006564702116444204*I
-5.5	0.49946382021074404-0.00019700887766619822*I	0.49884489571033325-0.00033464884228482446*I	0.4981455683089457-0.0003864938289600304*I	0.49737665908117434-0.00032234893791774653*I	0.4965607287506319-0.00011084204165782305*I	0.49573487563270596+0.0002757411708852838*I
-5.	0.49946014065333905-0.0002892714761897052*I	0.4988148060040638-0.000529519989533224*I	0.4980593517601614-0.0006890154428664242*I	0.4971982799521617-0.0007284409908036837*I	0.4962505327946195-0.0006029175705514633*I	0.49525519366176946-0.00026734489694109115*I
-4.5	0.49947972778774385-0.0003936371603241041*I	0.49883066311414165-0.000757514106305246*I	0.4980375618515221-0.0010560768812116613*I	0.4970934276895566-0.001240956642940144*I	0.496007262301261-0.001251120650500478*I	0.49481415410521884-0.001017346028537982*I
-4.	0.4995315085899977-0.0005038360541988602*I	0.4989140700637374-0.001008353024815623*I	0.49811798827943127-0.001477906450453741*I	0.4971179820729939-0.0018578610283910373*I	0.49590307211154616-0.00207073197008958*I	0.4944922840078969-0.002016702004578054*I
-3.5	0.4996237599978964-0.0006076753968948586*I	0.4990876866482817-0.0012584315894662687*I	0.4983449443856424-0.0019234063546318771*I	0.4973448064651468-0.002549300783234418*I	0.49604258563438247-0.003047826229111231*I	0.49442018951925065-0.003286791807966914*I
-3.	0.4997603616165259-0.0006854936959567838*I	0.4993674794044524-0.001465548469656401*I	0.4987585077473564-0.002328147093188972*I	0.497853330183221-0.003235660530912211*I	0.4965593913629266-0.00410592430845396*I	0.4947909880258328-0.004786963589897236*I
-2.5	0.4999345147957247-0.0007107525890114807*I	0.49974793015161384-0.0015672809863478071*I	0.4993698937122435-0.0025852938460305367*I	0.49869691596000915-0.003763037943220248*I	0.49758417403038424-0.005056975132379093*I	0.4958482556452984-0.006337563455438913*I
